"start","end","year","ships","days"
"Venice","Beyrouth",1389,3,28
"Venice","Beyrouth",1389,1,28
"Beyrouth","Laodicée",1389,1,1
"Venice","Modon",1389,1,2
"Modon","Coron",1389,1,2
"Coron","Crete",1389,1,4
"Crete","Alexandrie",1389,1,1
"Venice","Modon",1390,3,1
"Modon","Negrepont",1390,3,1
"Negrepont","Constantinople",1390,3,2
"Constantinople","Tana",1390,3,12
"Venice","Flanders",1390,1,1
"Flanders","Sluis",1390,1,1
"Sluis","Middlebourg",1390,1,50
"Middlebourg","Southampton",1390,1,1
"Southampton","England",1390,1,1
"Venice","Flanders",1390,2,1
"Flanders","Sluis",1390,2,1
"Sluis","Middlebourg",1390,2,50
"Venice","Alexandrie",1390,2,20
"Venice","Beyrouth",1390,2,28
"Beyrouth","Cyprus",1390,2,1
"Cyprus","Cyprus",1390,2,1
"Cyprus","Alexandrie",1390,2,16
"Venice","Cyprus",1390,1,1
"Cyprus","Beyrouth",1390,1,1
"Beyrouth","Cyprus",1390,1,1
"Cyprus","Rhodes",1390,1,1
"Venice","Constantinople",1391,3,2
"Constantinople","Tana",1391,3,14
"Venice","Beyrouth",1391,2,28
"Venice","Beyrouth",1391,1,1
"Venice","Alexandrie",1391,2,20
"Venice","Caput.Doble",1392,2,1
"Caput.Doble","Sluis",1392,2,40
"Sluis","London",1392,2,40
"Venice","Constantinople",1392,3,2
"Constantinople","Tana",1392,3,12
"Venice","Cyprus",1392,1,1
"Cyprus","Jaffa",1392,1,1
"Jaffa","Beyrouth",1392,1,28
"Beyrouth","Jerusalem",1392,1,1
"Venice","Cyprus",1392,1,1
"Cyprus","Jaffa",1392,1,1
"Jaffa","Beyrouth",1392,1,28
"Beyrouth","Laodicée",1392,1,1
"Venice","Cyprus",1392,1,1
"Cyprus","Beyrouth",1392,1,28
"Beyrouth","Laodicée",1392,1,1
"Venice","Cyprus",1392,1,1
"Cyprus","Beyrouth",1392,1,28
"Beyrouth","Damas",1392,1,1
"Venice","Alexandrie",1392,3,20
"Venice","Negrepont",1393,3,1
"Negrepont","Constantinople",1393,3,2
"Constantinople","Tana",1393,3,12
"Tana","Trebizonde",1393,3,1
"Venice","Beyrouth",1393,1,25
"Beyrouth","Jaffa",1393,1,1
"Venice","Beyrouth",1393,3,25
"Venice","Alexandrie",1393,3,20
"Venice","Flanders",1394,2,1
"Flanders","Sluis",1394,2,1
"Venice","Flanders",1394,1,1
"Flanders","London",1394,1,1
"Venice","Constantinople",1394,3,2
"Constantinople","Tana",1394,3,12
"Venice","Alexandrie",1394,3,20
"Alexandrie","Crete",1394,3,1
"Crete","Modon",1394,3,1
"Modon","Coron",1394,3,1
"Coron","Romanie",1394,3,1
"Venice","Beyrouth",1394,1,28
"Beyrouth","Laodicée",1394,1,1
"Venice","Beyrouth",1394,1,28
"Beyrouth","Jaffa",1394,1,1
"Venice","Beyrouth",1394,2,28
"Venice","SJacques",1395,2,1
"SJacques","Malaga",1395,2,3
"Malaga","Flanders",1395,2,1
"Flanders","Sluis",1395,2,1
"Venice","SJacques",1395,2,1
"SJacques","Malaga",1395,2,3
"Malaga","Flanders",1395,2,1
"Flanders","Sluis",1395,2,50
"Venice","Constantinople",1395,2,2
"Constantinople","Buca.maris.maioris",1395,2,1
"Buca.maris.maioris","Tana",1395,2,14
"Tana","Caffa",1395,2,2
"Venice","Constantinople",1395,1,2
